atr_mult,trail_k,ttp_k,min_hold,hyst_k,cap_fraction,cancel_spread_bps,total_return,annualised_return,annualised_volatility,calc_sharpe,expectancy_after_costs,max_drawdown,trades_count,avg_slippage_bps,maker_fill_ratio,pass
0.0015,0.0,0.0,24,0.8,0.025,6.0,-0.020173613732780038,-0.00020739053999963009,0.004504667269030377,-0.0460390363180521,-0.0018594685643005364,-0.07865417592896484,29,0.5,1.0,False
0.0015,0.0,0.0,24,0.8,0.025,8.0,-0.11132665745568171,-0.0012004597515986593,0.00486554131279539,-0.24672686437615743,-0.005486044171156203,-0.12359250558476587,50,0.5,1.0,False
0.0015,0.0,0.0,24,0.8,0.025,10.0,-0.10130675267303435,-0.0010864820284905985,0.0051791533061710075,-0.20977985478746988,-0.003217910423576832,-0.11337646582882532,85,0.5,1.0,False
0.0015,0.0,0.0,24,0.8,0.03,6.0,-0.024392707227365862,-0.00025129811726565254,0.005405600722836451,-0.04648847189249861,-0.002231362277160647,-0.09375488329621517,29,0.5,1.0,False
0.0015,0.0,0.0,24,0.8,0.03,8.0,-0.13230053621345472,-0.001443216102878675,0.005838649575354468,-0.24718320293970658,-0.006583253005387442,-0.1466443022987839,50,0.5,1.0,False
0.0015,0.0,0.0,24,0.8,0.03,10.0,-0.1205798749319229,-0.0013068517761747334,0.006214983967405208,-0.2102743600029513,-0.0038614925082921976,-0.134725731601816,85,0.5,1.0,False
0.0015,0.0,0.0,24,0.8,0.035,6.0,-0.02867111616871021,-0.00029601533452372486,0.006306534176642527,-0.04693787843409699,-0.002603255990020751,-0.10865019089826611,29,0.5,1.0,False
0.0015,0.0,0.0,24,0.8,0.035,8.0,-0.15285824948594295,-0.0016868590434292452,0.006811757837913547,-0.24763931478015272,-0.007680461839618682,-0.16916452365943946,50,0.5,1.0,False
0.0015,0.0,0.0,24,0.8,0.035,10.0,-0.13953040272058137,-0.0015282443484534447,0.00725081462863941,-0.21076864141818702,-0.004505074593007565,-0.15564732452226981,85,0.5,1.0,False
0.0015,0.0,0.0,24,1.0,0.025,6.0,-0.020173613732780038,-0.00020739053999963009,0.004504667269030377,-0.0460390363180521,-0.0018594685643005364,-0.07865417592896484,29,0.5,1.0,False
0.0015,0.0,0.0,24,1.0,0.025,8.0,-0.11132665745568171,-0.0012004597515986593,0.00486554131279539,-0.24672686437615743,-0.005486044171156203,-0.12359250558476587,50,0.5,1.0,False
0.0015,0.0,0.0,24,1.0,0.025,10.0,-0.10130675267303435,-0.0010864820284905985,0.0051791533061710075,-0.20977985478746988,-0.003217910423576832,-0.11337646582882532,85,0.5,1.0,False
0.0015,0.0,0.0,24,1.0,0.03,6.0,-0.024392707227365862,-0.00025129811726565254,0.005405600722836451,-0.04648847189249861,-0.002231362277160647,-0.09375488329621517,29,0.5,1.0,False
0.0015,0.0,0.0,24,1.0,0.03,8.0,-0.13230053621345472,-0.001443216102878675,0.005838649575354468,-0.24718320293970658,-0.006583253005387442,-0.1466443022987839,50,0.5,1.0,False
0.0015,0.0,0.0,24,1.0,0.03,10.0,-0.1205798749319229,-0.0013068517761747334,0.006214983967405208,-0.2102743600029513,-0.0038614925082921976,-0.134725731601816,85,0.5,1.0,False
0.0015,0.0,0.0,24,1.0,0.035,6.0,-0.02867111616871021,-0.00029601533452372486,0.006306534176642527,-0.04693787843409699,-0.002603255990020751,-0.10865019089826611,29,0.5,1.0,False
0.0015,0.0,0.0,24,1.0,0.035,8.0,-0.15285824948594295,-0.0016868590434292452,0.006811757837913547,-0.24763931478015272,-0.007680461839618682,-0.16916452365943946,50,0.5,1.0,False
0.0015,0.0,0.0,24,1.0,0.035,10.0,-0.13953040272058137,-0.0015282443484534447,0.00725081462863941,-0.21076864141818702,-0.004505074593007565,-0.15564732452226981,85,0.5,1.0,False
0.0015,0.0,0.0,24,1.2,0.025,6.0,-0.020173613732780038,-0.00020739053999963009,0.004504667269030377,-0.0460390363180521,-0.0018594685643005364,-0.07865417592896484,29,0.5,1.0,False
0.0015,0.0,0.0,24,1.2,0.025,8.0,-0.11132665745568171,-0.0012004597515986593,0.00486554131279539,-0.24672686437615743,-0.005486044171156203,-0.12359250558476587,50,0.5,1.0,False
